Random seed = 2081894615
Running evolution experiment (on the T_search tasks)...
indivs=701000, elapsed_secs=7044, mean=0.958315, stdev=0.144696, best fit=0.980517,
indivs=711000, elapsed_secs=7173, mean=0.951589, stdev=0.164492, best fit=0.980517,
indivs=721000, elapsed_secs=7302, mean=0.960257, stdev=0.138328, best fit=0.980517,
indivs=731000, elapsed_secs=7430, mean=0.958374, stdev=0.144312, best fit=0.980517,
indivs=741000, elapsed_secs=7555, mean=0.959777, stdev=0.139159, best fit=0.980517,
indivs=751000, elapsed_secs=7680, mean=0.956452, stdev=0.150280, best fit=0.980517,
indivs=761000, elapsed_secs=7806, mean=0.947745, stdev=0.174684, best fit=0.980517,
indivs=771000, elapsed_secs=7933, mean=0.965101, stdev=0.120889, best fit=0.980517,
indivs=781000, elapsed_secs=8061, mean=0.962199, stdev=0.131623, best fit=0.980517,
indivs=791000, elapsed_secs=8190, mean=0.962159, stdev=0.131905, best fit=0.980517,
indivs=801000, elapsed_secs=8321, mean=0.961179, stdev=0.135364, best fit=0.980517,
indivs=811000, elapsed_secs=8450, mean=0.948726, stdev=0.172094, best fit=0.980517,
indivs=821000, elapsed_secs=8579, mean=0.959316, stdev=0.141355, best fit=0.980517,
indivs=831000, elapsed_secs=8707, mean=0.956932, stdev=0.148101, best fit=0.980517,
indivs=841000, elapsed_secs=8836, mean=0.955355, stdev=0.154010, best fit=0.980517,
indivs=851000, elapsed_secs=8965, mean=0.964159, stdev=0.124377, best fit=0.980517,
indivs=861000, elapsed_secs=9092, mean=0.957393, stdev=0.147455, best fit=0.980517,
indivs=871000, elapsed_secs=9218, mean=0.971866, stdev=0.090756, best fit=0.980517,
indivs=881000, elapsed_secs=9344, mean=0.960296, stdev=0.138059, best fit=0.980517,
indivs=891000, elapsed_secs=9469, mean=0.966502, stdev=0.114215, best fit=0.980517,
indivs=901000, elapsed_secs=9598, mean=0.966081, stdev=0.116970, best fit=0.980517,
indivs=911000, elapsed_secs=9733, mean=0.957374, stdev=0.147580, best fit=0.980517,
indivs=921000, elapsed_secs=9868, mean=0.956451, stdev=0.148780, best fit=0.980517,
indivs=931000, elapsed_secs=9999, mean=0.962218, stdev=0.131481, best fit=0.980517,
indivs=941000, elapsed_secs=10131, mean=0.960679, stdev=0.136353, best fit=0.980517,
indivs=951000, elapsed_secs=10265, mean=0.968464, stdev=0.106127, best fit=0.980517,
indivs=961000, elapsed_secs=10401, mean=0.961237, stdev=0.134952, best fit=0.980517,
indivs=971000, elapsed_secs=10535, mean=0.957355, stdev=0.147706, best fit=0.980517,
indivs=981000, elapsed_secs=10670, mean=0.960816, stdev=0.135628, best fit=0.980517,
indivs=991000, elapsed_secs=10805, mean=0.948549, stdev=0.173050, best fit=0.980517,
indivs=1001000, elapsed_secs=10937, mean=0.953089, stdev=0.159473, best fit=0.980517,
indivs=1011000, elapsed_secs=11068, mean=0.956432, stdev=0.150403, best fit=0.980517,
indivs=1021000, elapsed_secs=11201, mean=0.962678, stdev=0.129108, best fit=0.980517,
indivs=1031000, elapsed_secs=11334, mean=0.961257, stdev=0.134814, best fit=0.980517,
indivs=1041000, elapsed_secs=11465, mean=0.963758, stdev=0.124969, best fit=0.980517,
indivs=1051000, elapsed_secs=11603, mean=0.956393, stdev=0.150649, best fit=0.980517,
indivs=1061000, elapsed_secs=11742, mean=0.954511, stdev=0.156115, best fit=0.980517,
indivs=1071000, elapsed_secs=11877, mean=0.965101, stdev=0.120889, best fit=0.980517,
indivs=1081000, elapsed_secs=12011, mean=0.961679, stdev=0.132439, best fit=0.980517,
indivs=1091000, elapsed_secs=12144, mean=0.955836, stdev=0.151586, best fit=0.980517,
indivs=1101000, elapsed_secs=12276, mean=0.963179, stdev=0.128055, best fit=0.980517,
indivs=1111000, elapsed_secs=12400, mean=0.964640, stdev=0.121705, best fit=0.980517,
indivs=1121000, elapsed_secs=12526, mean=0.959296, stdev=0.141486, best fit=0.980517,
indivs=1131000, elapsed_secs=12656, mean=0.953550, stdev=0.158884, best fit=0.980517,
indivs=1141000, elapsed_secs=12788, mean=0.955912, stdev=0.151104, best fit=0.980517,
indivs=1151000, elapsed_secs=12920, mean=0.959355, stdev=0.141092, best fit=0.980517,
indivs=1161000, elapsed_secs=13050, mean=0.950167, stdev=0.167658, best fit=0.980517,
indivs=1171000, elapsed_secs=13183, mean=0.957776, stdev=0.145559, best fit=0.980517,
indivs=1181000, elapsed_secs=13317, mean=0.961622, stdev=0.132860, best fit=0.980517,
indivs=1191000, elapsed_secs=13446, mean=0.962198, stdev=0.131623, best fit=0.980517,
indivs=1201000, elapsed_secs=13571, mean=0.956413, stdev=0.150526, best fit=0.980517,
indivs=1211000, elapsed_secs=13696, mean=0.958393, stdev=0.144183, best fit=0.980517,
indivs=1221000, elapsed_secs=13821, mean=0.972828, stdev=0.085609, best fit=0.980517,
indivs=1231000, elapsed_secs=13945, mean=0.963499, stdev=0.126080, best fit=0.980517,
indivs=1241000, elapsed_secs=14071, mean=0.961276, stdev=0.134676, best fit=0.980517,
indivs=1251000, elapsed_secs=14194, mean=0.963198, stdev=0.127910, best fit=0.980517,
indivs=1261000, elapsed_secs=14315, mean=0.962816, stdev=0.128340, best fit=0.980517,
indivs=1271000, elapsed_secs=14435, mean=0.958413, stdev=0.144055, best fit=0.980517,
indivs=1281000, elapsed_secs=14557, mean=0.963679, stdev=0.125316, best fit=0.980517,
indivs=1291000, elapsed_secs=14682, mean=0.951647, stdev=0.164156, best fit=0.980517,
indivs=1301000, elapsed_secs=14808, mean=0.951608, stdev=0.164380, best fit=0.980517,
indivs=1311000, elapsed_secs=14931, mean=0.964159, stdev=0.124377, best fit=0.980517,
indivs=1321000, elapsed_secs=15057, mean=0.958335, stdev=0.144568, best fit=0.980517,
indivs=1331000, elapsed_secs=15183, mean=0.963198, stdev=0.127910, best fit=0.980517,
indivs=1341000, elapsed_secs=15313, mean=0.958315, stdev=0.144696, best fit=0.980517,
indivs=1351000, elapsed_secs=15441, mean=0.957933, stdev=0.144847, best fit=0.980517,
indivs=1361000, elapsed_secs=15571, mean=0.957894, stdev=0.145103, best fit=0.980517,
indivs=1371000, elapsed_secs=15698, mean=0.951647, stdev=0.164157, best fit=0.980517,
indivs=1381000, elapsed_secs=15824, mean=0.946960, stdev=0.175171, best fit=0.980517,
indivs=1391000, elapsed_secs=15952, mean=0.964640, stdev=0.121705, best fit=0.980517,
indivs=1401000, elapsed_secs=16079, mean=0.964582, stdev=0.121789, best fit=0.980517,
indivs=1411000, elapsed_secs=16204, mean=0.962257, stdev=0.131199, best fit=0.980517,
indivs=1421000, elapsed_secs=16329, mean=0.961296, stdev=0.134538, best fit=0.980517,
