Random seed = 550608059
Running evolution experiment (on the T_search tasks)...
indivs=100, elapsed_secs=0, mean=0.702703, stdev=0.000000, best fit=0.702703,
indivs=10100, elapsed_secs=5, mean=0.573694, stdev=0.192118, best fit=0.711712,
indivs=20100, elapsed_secs=13, mean=0.654054, stdev=0.141082, best fit=0.711712,
indivs=30100, elapsed_secs=21, mean=0.610000, stdev=0.176927, best fit=0.711712,
indivs=40100, elapsed_secs=31, mean=0.632252, stdev=0.160539, best fit=0.711712,
indivs=50100, elapsed_secs=41, mean=0.655676, stdev=0.155225, best fit=0.711712,
indivs=60100, elapsed_secs=50, mean=0.630360, stdev=0.163341, best fit=0.711712,
indivs=70100, elapsed_secs=61, mean=0.630631, stdev=0.160208, best fit=0.711712,
indivs=80100, elapsed_secs=70, mean=0.599550, stdev=0.184028, best fit=0.711712,
indivs=90100, elapsed_secs=79, mean=0.651532, stdev=0.137846, best fit=0.711712,
indivs=100100, elapsed_secs=89, mean=0.624685, stdev=0.168583, best fit=0.711712,
indivs=110100, elapsed_secs=100, mean=0.599640, stdev=0.181403, best fit=0.711712,
indivs=120100, elapsed_secs=109, mean=0.638919, stdev=0.150742, best fit=0.711712,
indivs=130100, elapsed_secs=119, mean=0.607297, stdev=0.176954, best fit=0.711712,
indivs=140100, elapsed_secs=126, mean=0.643063, stdev=0.151869, best fit=0.711712,
indivs=150100, elapsed_secs=135, mean=0.638919, stdev=0.156029, best fit=0.711712,
indivs=160100, elapsed_secs=144, mean=0.654955, stdev=0.140098, best fit=0.711712,
indivs=170100, elapsed_secs=153, mean=0.608018, stdev=0.179605, best fit=0.711712,
indivs=180100, elapsed_secs=162, mean=0.618288, stdev=0.171978, best fit=0.711712,
indivs=190100, elapsed_secs=171, mean=0.630541, stdev=0.168550, best fit=0.711712,
indivs=200100, elapsed_secs=181, mean=0.621982, stdev=0.169359, best fit=0.711712,
indivs=210100, elapsed_secs=190, mean=0.628559, stdev=0.163105, best fit=0.711712,
indivs=220100, elapsed_secs=199, mean=0.654775, stdev=0.149777, best fit=0.711712,
indivs=230100, elapsed_secs=208, mean=0.589910, stdev=0.187199, best fit=0.711712,
indivs=240100, elapsed_secs=216, mean=0.624414, stdev=0.168672, best fit=0.711712,
indivs=250100, elapsed_secs=224, mean=0.612703, stdev=0.173818, best fit=0.711712,
indivs=260100, elapsed_secs=231, mean=0.657207, stdev=0.139144, best fit=0.711712,
indivs=270100, elapsed_secs=240, mean=0.651622, stdev=0.143874, best fit=0.711712,
indivs=280100, elapsed_secs=248, mean=0.634595, stdev=0.159840, best fit=0.711712,
indivs=290100, elapsed_secs=257, mean=0.576757, stdev=0.204820, best fit=0.711712,
indivs=300100, elapsed_secs=267, mean=0.614324, stdev=0.174103, best fit=0.711712,
indivs=310100, elapsed_secs=276, mean=0.663243, stdev=0.130359, best fit=0.711712,
indivs=320100, elapsed_secs=286, mean=0.600721, stdev=0.178682, best fit=0.711712,
indivs=330100, elapsed_secs=293, mean=0.657838, stdev=0.135764, best fit=0.711712,
indivs=340100, elapsed_secs=301, mean=0.632523, stdev=0.162598, best fit=0.711712,
indivs=350100, elapsed_secs=310, mean=0.632793, stdev=0.154310, best fit=0.711712,
indivs=360100, elapsed_secs=319, mean=0.620360, stdev=0.166577, best fit=0.711712,
indivs=370100, elapsed_secs=329, mean=0.649279, stdev=0.144937, best fit=0.711712,
indivs=380100, elapsed_secs=338, mean=0.624865, stdev=0.165920, best fit=0.711712,
indivs=390100, elapsed_secs=347, mean=0.643063, stdev=0.152307, best fit=0.711712,
indivs=400100, elapsed_secs=355, mean=0.668288, stdev=0.124835, best fit=0.711712,
indivs=410100, elapsed_secs=363, mean=0.639550, stdev=0.152172, best fit=0.711712,
indivs=420100, elapsed_secs=373, mean=0.636486, stdev=0.178503, best fit=0.711712,
indivs=430100, elapsed_secs=382, mean=0.653423, stdev=0.143696, best fit=0.711712,
indivs=440100, elapsed_secs=391, mean=0.644955, stdev=0.151743, best fit=0.711712,
indivs=450100, elapsed_secs=401, mean=0.651351, stdev=0.144591, best fit=0.711712,
indivs=460100, elapsed_secs=411, mean=0.643874, stdev=0.145904, best fit=0.711712,
indivs=470100, elapsed_secs=420, mean=0.610450, stdev=0.176798, best fit=0.711712,
indivs=480100, elapsed_secs=429, mean=0.635405, stdev=0.153785, best fit=0.711712,
indivs=490100, elapsed_secs=439, mean=0.661532, stdev=0.131730, best fit=0.711712,
indivs=500100, elapsed_secs=448, mean=0.661351, stdev=0.134733, best fit=0.711712,
indivs=510100, elapsed_secs=458, mean=0.638018, stdev=0.162039, best fit=0.711712,
indivs=520100, elapsed_secs=468, mean=0.626667, stdev=0.181725, best fit=0.711712,
indivs=530100, elapsed_secs=477, mean=0.641351, stdev=0.167144, best fit=0.711712,
