Random seed = 2081894615
Running evolution experiment (on the T_search tasks)...
indivs=720100, elapsed_secs=113, mean=0.622500, stdev=0.009895, best fit=0.625000,
indivs=730100, elapsed_secs=114, mean=0.619167, stdev=0.023585, best fit=0.625000,
indivs=740100, elapsed_secs=115, mean=0.619583, stdev=0.023315, best fit=0.625000,
indivs=750100, elapsed_secs=117, mean=0.620000, stdev=0.023034, best fit=0.625000,
indivs=760100, elapsed_secs=118, mean=0.614583, stdev=0.036975, best fit=0.625000,
indivs=770100, elapsed_secs=120, mean=0.621667, stdev=0.011304, best fit=0.625000,
indivs=780100, elapsed_secs=122, mean=0.621667, stdev=0.011304, best fit=0.625000,
indivs=790100, elapsed_secs=123, mean=0.621250, stdev=0.022123, best fit=0.625000,
indivs=800100, elapsed_secs=125, mean=0.621667, stdev=0.021794, best fit=0.625000,
indivs=810100, elapsed_secs=126, mean=0.620833, stdev=0.022438, best fit=0.625000,
indivs=820100, elapsed_secs=127, mean=0.617083, stdev=0.031010, best fit=0.625000,
indivs=830100, elapsed_secs=129, mean=0.616250, stdev=0.036465, best fit=0.625000,
indivs=840100, elapsed_secs=130, mean=0.622500, stdev=0.009895, best fit=0.625000,
indivs=850100, elapsed_secs=131, mean=0.621250, stdev=0.022123, best fit=0.625000,
indivs=860100, elapsed_secs=132, mean=0.617083, stdev=0.031010, best fit=0.625000,
indivs=870100, elapsed_secs=134, mean=0.618333, stdev=0.030459, best fit=0.625000,
indivs=880100, elapsed_secs=135, mean=0.619167, stdev=0.023585, best fit=0.625000,
indivs=890100, elapsed_secs=137, mean=0.605833, stdev=0.091746, best fit=0.625000,
indivs=900100, elapsed_secs=138, mean=0.618750, stdev=0.023845, best fit=0.625000,
indivs=910100, elapsed_secs=140, mean=0.617083, stdev=0.031010, best fit=0.625000,
indivs=920100, elapsed_secs=142, mean=0.617500, stdev=0.030833, best fit=0.625000,
indivs=930100, elapsed_secs=143, mean=0.618333, stdev=0.024095, best fit=0.625000,
indivs=940100, elapsed_secs=145, mean=0.617500, stdev=0.030833, best fit=0.625000,
indivs=950100, elapsed_secs=146, mean=0.618333, stdev=0.030459, best fit=0.625000,
indivs=960100, elapsed_secs=148, mean=0.617500, stdev=0.030833, best fit=0.625000,
indivs=970100, elapsed_secs=149, mean=0.613333, stdev=0.041700, best fit=0.625000,
indivs=980100, elapsed_secs=151, mean=0.611667, stdev=0.045977, best fit=0.625000,
indivs=990100, elapsed_secs=152, mean=0.610833, stdev=0.071254, best fit=0.625000,
indivs=1000100, elapsed_secs=154, mean=0.624167, stdev=0.005833, best fit=0.625000,
indivs=1010100, elapsed_secs=155, mean=0.620000, stdev=0.023034, best fit=0.625000,
indivs=1020100, elapsed_secs=157, mean=0.619167, stdev=0.023585, best fit=0.625000,
indivs=1030100, elapsed_secs=158, mean=0.617083, stdev=0.031010, best fit=0.625000,
indivs=1040100, elapsed_secs=159, mean=0.615000, stdev=0.036856, best fit=0.625000,
indivs=1050100, elapsed_secs=160, mean=0.622500, stdev=0.009895, best fit=0.625000,
indivs=1060100, elapsed_secs=161, mean=0.623750, stdev=0.007108, best fit=0.625000,
indivs=1070100, elapsed_secs=162, mean=0.619583, stdev=0.023315, best fit=0.625000,
indivs=1080100, elapsed_secs=164, mean=0.617083, stdev=0.036178, best fit=0.625000,
indivs=1090100, elapsed_secs=165, mean=0.616250, stdev=0.031344, best fit=0.625000,
indivs=1100100, elapsed_secs=166, mean=0.616250, stdev=0.036465, best fit=0.625000,
indivs=1110100, elapsed_secs=168, mean=0.619167, stdev=0.030058, best fit=0.625000,
indivs=1120100, elapsed_secs=169, mean=0.617083, stdev=0.031010, best fit=0.625000,
indivs=1130100, elapsed_secs=170, mean=0.615417, stdev=0.041187, best fit=0.625000,
indivs=1140100, elapsed_secs=172, mean=0.620833, stdev=0.022438, best fit=0.625000,
indivs=1150100, elapsed_secs=174, mean=0.619583, stdev=0.023315, best fit=0.625000,
indivs=1160100, elapsed_secs=176, mean=0.620833, stdev=0.022438, best fit=0.625000,
indivs=1170100, elapsed_secs=177, mean=0.620417, stdev=0.013037, best fit=0.625000,
indivs=1180100, elapsed_secs=178, mean=0.618750, stdev=0.030262, best fit=0.625000,
indivs=1190100, elapsed_secs=179, mean=0.614167, stdev=0.037090, best fit=0.625000,
indivs=1200100, elapsed_secs=180, mean=0.617083, stdev=0.031010, best fit=0.625000,
indivs=1210100, elapsed_secs=181, mean=0.619167, stdev=0.023585, best fit=0.625000,
indivs=1220100, elapsed_secs=183, mean=0.605833, stdev=0.091746, best fit=0.625000,
indivs=1230100, elapsed_secs=185, mean=0.608333, stdev=0.073834, best fit=0.625000,
indivs=1240100, elapsed_secs=186, mean=0.616250, stdev=0.036465, best fit=0.625000,
indivs=1250100, elapsed_secs=188, mean=0.624167, stdev=0.005833, best fit=0.625000,
indivs=1260100, elapsed_secs=190, mean=0.619583, stdev=0.023315, best fit=0.625000,
indivs=1270100, elapsed_secs=191, mean=0.621250, stdev=0.022123, best fit=0.625000,
indivs=1280100, elapsed_secs=193, mean=0.622083, stdev=0.021453, best fit=0.625000,
indivs=1290100, elapsed_secs=194, mean=0.617500, stdev=0.036027, best fit=0.625000,
indivs=1300100, elapsed_secs=196, mean=0.621667, stdev=0.021794, best fit=0.625000,
indivs=1310100, elapsed_secs=198, mean=0.617917, stdev=0.030650, best fit=0.625000,
indivs=1320100, elapsed_secs=199, mean=0.620833, stdev=0.012500, best fit=0.625000,
indivs=1330100, elapsed_secs=201, mean=0.616667, stdev=0.062639, best fit=0.625000,
indivs=1340100, elapsed_secs=202, mean=0.621667, stdev=0.011304, best fit=0.625000,
indivs=1350100, elapsed_secs=204, mean=0.612500, stdev=0.068592, best fit=0.625000,
indivs=1360100, elapsed_secs=206, mean=0.618333, stdev=0.030459, best fit=0.625000,
indivs=1370100, elapsed_secs=208, mean=0.619583, stdev=0.023315, best fit=0.625000,
indivs=1380100, elapsed_secs=209, mean=0.618333, stdev=0.030459, best fit=0.625000,
indivs=1390100, elapsed_secs=211, mean=0.610000, stdev=0.071327, best fit=0.625000,
indivs=1400100, elapsed_secs=212, mean=0.618333, stdev=0.030459, best fit=0.625000,
indivs=1410100, elapsed_secs=214, mean=0.615417, stdev=0.036731, best fit=0.625000,
indivs=1420100, elapsed_secs=215, mean=0.623333, stdev=0.008165, best fit=0.625000,
indivs=1430100, elapsed_secs=217, mean=0.612917, stdev=0.041789, best fit=0.625000,
indivs=1440100, elapsed_secs=219, mean=0.621667, stdev=0.011304, best fit=0.625000,
indivs=1450100, elapsed_secs=221, mean=0.606667, stdev=0.089815, best fit=0.625000,
indivs=1460100, elapsed_secs=223, mean=0.620000, stdev=0.023034, best fit=0.625000,
indivs=1470100, elapsed_secs=224, mean=0.620833, stdev=0.022438, best fit=0.625000,
indivs=1480100, elapsed_secs=226, mean=0.620000, stdev=0.029627, best fit=0.625000,
indivs=1490100, elapsed_secs=228, mean=0.622083, stdev=0.010631, best fit=0.625000,
indivs=1500100, elapsed_secs=229, mean=0.622083, stdev=0.010631, best fit=0.625000,
indivs=1510100, elapsed_secs=231, mean=0.621250, stdev=0.022123, best fit=0.625000,
indivs=1520100, elapsed_secs=232, mean=0.621250, stdev=0.022123, best fit=0.625000,
indivs=1530100, elapsed_secs=233, mean=0.621667, stdev=0.011304, best fit=0.625000,
indivs=1540100, elapsed_secs=234, mean=0.615417, stdev=0.031653, best fit=0.625000,
indivs=1550100, elapsed_secs=235, mean=0.621250, stdev=0.022123, best fit=0.625000,
indivs=1560100, elapsed_secs=237, mean=0.618333, stdev=0.015275, best fit=0.625000,
indivs=1570100, elapsed_secs=238, mean=0.615000, stdev=0.062948, best fit=0.625000,
indivs=1580100, elapsed_secs=240, mean=0.603750, stdev=0.091760, best fit=0.625000,
indivs=1590100, elapsed_secs=242, mean=0.621250, stdev=0.022123, best fit=0.625000,
indivs=1600100, elapsed_secs=243, mean=0.621250, stdev=0.022123, best fit=0.625000,
indivs=1610100, elapsed_secs=245, mean=0.619167, stdev=0.023585, best fit=0.625000,
indivs=1620100, elapsed_secs=246, mean=0.615417, stdev=0.036731, best fit=0.625000,
indivs=1630100, elapsed_secs=248, mean=0.615833, stdev=0.036600, best fit=0.625000,
indivs=1640100, elapsed_secs=250, mean=0.598750, stdev=0.111283, best fit=0.625000,
indivs=1650100, elapsed_secs=252, mean=0.622083, stdev=0.010631, best fit=0.625000,
indivs=1660100, elapsed_secs=253, mean=0.593750, stdev=0.114014, best fit=0.625000,
indivs=1670100, elapsed_secs=255, mean=0.621667, stdev=0.011304, best fit=0.625000,
indivs=1680100, elapsed_secs=256, mean=0.616667, stdev=0.036324, best fit=0.625000,
indivs=1690100, elapsed_secs=258, mean=0.619167, stdev=0.030058, best fit=0.625000,
