Random seed = 405515805
Running evolution experiment (on the T_search tasks)...
indivs=720100, elapsed_secs=535, mean=0.605405, stdev=0.179521, best fit=0.711712,
indivs=730100, elapsed_secs=543, mean=0.616216, stdev=0.174305, best fit=0.711712,
indivs=740100, elapsed_secs=551, mean=0.586216, stdev=0.187193, best fit=0.711712,
indivs=750100, elapsed_secs=557, mean=0.603784, stdev=0.182084, best fit=0.711712,
indivs=760100, elapsed_secs=566, mean=0.572973, stdev=0.192489, best fit=0.711712,
indivs=770100, elapsed_secs=575, mean=0.600180, stdev=0.181481, best fit=0.711712,
indivs=780100, elapsed_secs=583, mean=0.622793, stdev=0.168464, best fit=0.711712,
indivs=790100, elapsed_secs=592, mean=0.580721, stdev=0.191502, best fit=0.711712,
indivs=800100, elapsed_secs=599, mean=0.577117, stdev=0.192788, best fit=0.711712,
indivs=810100, elapsed_secs=606, mean=0.597748, stdev=0.183922, best fit=0.711712,
indivs=820100, elapsed_secs=616, mean=0.554234, stdev=0.201151, best fit=0.711712,
indivs=830100, elapsed_secs=623, mean=0.610180, stdev=0.174704, best fit=0.711712,
indivs=840100, elapsed_secs=630, mean=0.607748, stdev=0.179247, best fit=0.711712,
indivs=850100, elapsed_secs=637, mean=0.583243, stdev=0.191664, best fit=0.711712,
indivs=860100, elapsed_secs=644, mean=0.593874, stdev=0.185728, best fit=0.711712,
indivs=870100, elapsed_secs=652, mean=0.615225, stdev=0.184697, best fit=0.711712,
indivs=880100, elapsed_secs=660, mean=0.585135, stdev=0.189555, best fit=0.711712,
indivs=890100, elapsed_secs=667, mean=0.590811, stdev=0.185966, best fit=0.711712,
indivs=900100, elapsed_secs=675, mean=0.601081, stdev=0.182343, best fit=0.711712,
indivs=910100, elapsed_secs=682, mean=0.612162, stdev=0.176941, best fit=0.711712,
indivs=920100, elapsed_secs=690, mean=0.587027, stdev=0.188108, best fit=0.711712,
indivs=930100, elapsed_secs=698, mean=0.593694, stdev=0.185780, best fit=0.711712,
indivs=940100, elapsed_secs=707, mean=0.624685, stdev=0.168794, best fit=0.711712,
indivs=950100, elapsed_secs=716, mean=0.608919, stdev=0.185003, best fit=0.711712,
indivs=960100, elapsed_secs=725, mean=0.607838, stdev=0.179505, best fit=0.711712,
indivs=970100, elapsed_secs=732, mean=0.576847, stdev=0.192938, best fit=0.711712,
indivs=980100, elapsed_secs=739, mean=0.583243, stdev=0.191664, best fit=0.711712,
indivs=990100, elapsed_secs=747, mean=0.591081, stdev=0.188165, best fit=0.711712,
indivs=1000100, elapsed_secs=755, mean=0.610450, stdev=0.176678, best fit=0.711712,
indivs=1010100, elapsed_secs=763, mean=0.588919, stdev=0.187935, best fit=0.711712,
indivs=1020100, elapsed_secs=771, mean=0.603784, stdev=0.181879, best fit=0.711712,
indivs=1030100, elapsed_secs=779, mean=0.611892, stdev=0.177007, best fit=0.711712,
indivs=1040100, elapsed_secs=786, mean=0.594865, stdev=0.184121, best fit=0.711712,
